trans_id,lang,translation
林技建,ja,林技建
林技建,ja-Hrkt,はやしぎけん
林技建,en,Hayashi giken
柏ヶ根口,ja,柏ヶ根口
柏ヶ根口,ja-Hrkt,かしがねぐち
柏ヶ根口,en,Kashiganeguchi
柏原,ja,柏原
柏原,ja-Hrkt,かしはら
柏原,en,Kashihara
栄屋,ja,栄屋
栄屋,ja-Hrkt,さかえや
栄屋,en,Sakaeya
根の上,ja,根の上
根の上,ja-Hrkt,ねのうえ
根の上,en,Nenoue
梨坪,ja,梨坪
梨坪,ja-Hrkt,なしつぼ
梨坪,en,Nashitsubo
棚田公民館,ja,棚田公民館
棚田公民館,ja-Hrkt,たなだこうみんかん
棚田公民館,en,Tanada kouminkan
森下,ja,森下
森下,ja-Hrkt,もりした
森下,en,Morishita
森機械,ja,森機械
森機械,ja-Hrkt,もりきかい
森機械,en,Morikikai
植苗木交差点,ja,植苗木交差点
植苗木交差点,ja-Hrkt,うえなえぎこうさてん
植苗木交差点,en,Uenaegi kousaten
植苗木集会所,ja,植苗木集会所
植苗木集会所,ja-Hrkt,うえなえぎしゅうかいじょ
植苗木集会所,en,Uenaegi shukaijo
椛の湖,ja,椛の湖
椛の湖,ja-Hrkt,はなのこ
椛の湖,en,Hananoko
樋ヶ沢住宅,ja,樋ヶ沢住宅
樋ヶ沢住宅,ja-Hrkt,といがさわじゅうたく
樋ヶ沢住宅,en,Toigasawa jutaku
権四薙,ja,権四薙
権四薙,ja-Hrkt,ごんしなぎ
権四薙,en,Gonshinagi
横吹,ja,横吹
横吹,ja-Hrkt,よこぶき
横吹,en,Yokobuki
樺の木,ja,樺の木
樺の木,ja-Hrkt,かんばのき
樺の木,en,Kanbanoki
樺瀬東,ja,樺瀬東
樺瀬東,ja-Hrkt,かんばせひがし
樺瀬東,en,Kanbase-higashi
橋本屋,ja,橋本屋
橋本屋,ja-Hrkt,はしもとや
橋本屋,en,Hashimotoya
民宿下,ja,民宿下
民宿下,ja-Hrkt,みんしゅくした
民宿下,en,Minshuku-shita
河村分院,ja,河村分院
河村分院,ja-Hrkt,こうむらぶんいん
河村分院,en,Koumura bun-in
河村医院,ja,河村医院
河村医院,ja-Hrkt,こうむらいいん
河村医院,en,Koumura iin
洞口,ja,洞口
洞口,ja-Hrkt,ほらぐち
洞口,en,Horaguchi
深谷製作所,ja,深谷製作所
深谷製作所,ja-Hrkt,ふかやせいさくじょ
深谷製作所,en,Fukaya seisakujo
清水,ja,清水
清水,ja-Hrkt,しみず
清水,en,Shimizu
清水クラブ,ja,清水クラブ
清水クラブ,ja-Hrkt,しみずくらぶ
清水クラブ,en,Shimizu kurabu
濃飛小和知バス停,ja,濃飛小和知バス停
濃飛小和知バス停,ja-Hrkt,のうひこわちばすてい
濃飛小和知バス停,en,Nouhi kowachi basutei
炭焼渡,ja,炭焼渡
炭焼渡,ja-Hrkt,すみやきど
炭焼渡,en,Sumiyakido
熊久保,ja,熊久保
熊久保,ja-Hrkt,くまくぼ
熊久保,en,Kumakubo
熊崎石材,ja,熊崎石材
熊崎石材,ja-Hrkt,くまざきせきざい
熊崎石材,en,Kumazaki sekizai
熊野口,ja,熊野口
熊野口,ja-Hrkt,くまのぐち
熊野口,en,Kumanoguchi
牧野クラブ,ja,牧野クラブ
牧野クラブ,ja-Hrkt,まきのくらぶ
牧野クラブ,en,Makino kurabu
用水改修記念碑,ja,用水改修記念碑
用水改修記念碑,ja-Hrkt,ようすいかいしゅうきねんひ
用水改修記念碑,en,Yousui kaishu kinenhi
田之尻,ja,田之尻
田之尻,ja-Hrkt,たのしり
田之尻,en,Tanoshiri
田代,ja,田代
田代,ja-Hrkt,たしろ
田代,en,Tashiro
田原,ja,田原
田原,ja-Hrkt,たはら
田原,en,Tahara
田原新づつみ,ja,田原新づつみ
田原新づつみ,ja-Hrkt,たはらしんづつみ
田原新づつみ,en,Tahara shin dutsumi
田原消防詰所,ja,田原消防詰所
田原消防詰所,ja-Hrkt,たはらしょうぼうつめしょ
田原消防詰所,en,Tahara shobo tsumesho
田口屋前,ja,田口屋前
田口屋前,ja-Hrkt,たぐちやまえ
田口屋前,en,Taguchiya-mae
由喜治療院前,ja,由喜治療院前
由喜治療院前,ja-Hrkt,ゆうきちりょういんまえ
由喜治療院前,en,Yukichiryoin-mae
町切公民館,ja,町切公民館
町切公民館,ja-Hrkt,まちぎりこうみんかん
町切公民館,en,Machigiri kouminkan
番田,ja,番田
番田,ja-Hrkt,ばんだ
番田,en,Banda
番田消防詰所前,ja,番田消防詰所前
番田消防詰所前,ja-Hrkt,ばんだしょうぼうつめしょまえ
番田消防詰所前,en,Banda shobo tsumesho-mae
病院前,ja,病院前
病院前,ja-Hrkt,びょういんまえ
病院前,en,Byoin-mae
真原クラブ,ja,真原クラブ
真原クラブ,ja-Hrkt,さなわらくらぶ
真原クラブ,en,Sanawara kurabu
真原燈籠場,ja,真原燈籠場
真原燈籠場,ja-Hrkt,さなわらとうろうば
真原燈籠場,en,Sanawara tourouba
矢平,ja,矢平
矢平,ja-Hrkt,やだいら
矢平,en,Yadaira
矢平クラブ,ja,矢平クラブ
矢平クラブ,ja-Hrkt,やだいらくらぶ
矢平クラブ,en,Yadaira kurabu
矢柱住宅,ja,矢柱住宅
矢柱住宅,ja-Hrkt,やばしらじゅうたく
矢柱住宅,en,Yabashira jutaku
矢渕,ja,矢渕
矢渕,ja-Hrkt,やぶち
矢渕,en,Yabuchi
矢筈,ja,矢筈
矢筈,ja-Hrkt,やはず
矢筈,en,Yahazu
矢筈口,ja,矢筈口
矢筈口,ja-Hrkt,やはずぐち
矢筈口,en,Yahazuguchi
知原集会所,ja,知原集会所
知原集会所,ja-Hrkt,ちはらしゅうかいじょ
知原集会所,en,Chihara shukaijo
石畳下,ja,石畳下
石畳下,ja-Hrkt,いしだたみした
石畳下,en,Ishidatami-shita
福平,ja,福平
福平,ja-Hrkt,ふくだいら
福平,en,Fukudaira
稲舟,ja,稲舟
稲舟,ja-Hrkt,いなふね
稲舟,en,Inafune
稲荷平集会所,ja,稲荷平集会所
稲荷平集会所,ja-Hrkt,いなりだいらしゅうかいじょ
稲荷平集会所,en,Inaridaira shukaijo
竹内医院,ja,竹内医院
竹内医院,ja-Hrkt,たけうちいいん
竹内医院,en,Takeuchi iin
糸魚川建築前,ja,糸魚川建築前
糸魚川建築前,ja-Hrkt,いといがわけんちくまえ
糸魚川建築前,en,Itoigawa kenchiku-mae
紅梅屋,ja,紅梅屋
紅梅屋,ja-Hrkt,こうばいや
紅梅屋,en,Koubaiya
細ヶ谷,ja,細ヶ谷
細ヶ谷,ja-Hrkt,ほそがや
細ヶ谷,en,Hosogaya
総合福祉センター,ja,総合福祉センター
総合福祉センター,ja-Hrkt,そうごうふくしせんたー
総合福祉センター,en,Sougou fukishi center
芸術思考館,ja,芸術思考館
芸術思考館,ja-Hrkt,げいじゅつしこうかん
芸術思考館,en,Geijutsu shikoukan
若宮集会所,ja,若宮集会所
若宮集会所,ja-Hrkt,わかみやしゅうかいじょ
若宮集会所,en,Wakamiya shukaijo
若山,ja,若山
若山,ja-Hrkt,わかやま
若山,en,Wakayama
若山マレットゴルフ場,ja,若山マレットゴルフ場
若山マレットゴルフ場,ja-Hrkt,わかやままれっとごるふじょう
若山マレットゴルフ場,en,Wakayama Mallet Golf
若山口,ja,若山口
若山口,ja-Hrkt,わかやまぐち
若山口,en,Wakayamaguchi
菓子上,ja,菓子上
菓子上,ja-Hrkt,かしうえ
菓子上,en,Kashiue
落合事務所,ja,落合事務所
落合事務所,ja-Hrkt,おちあいじむしょ
落合事務所,en,Ochiai jimusho
落合小学校,ja,落合小学校
落合小学校,ja-Hrkt,おちあいしょうがっこう
落合小学校,en,Ochiai shogakko
落合川駅,ja,落合川駅
落合川駅,ja-Hrkt,おちあいがわえき
落合川駅,en,Ochiaigawa Eki(Ochiaigawa Sta.)
落合川駅上,ja,落合川駅上
落合川駅上,ja-Hrkt,おちあいがわえきうえ
落合川駅上,en,Ochiaigawa Eki-ue
落合診療所,ja,落合診療所
落合診療所,ja-Hrkt,おちあいしんりょうじょ
落合診療所,en,Ochiai shinryojo
薬師口,ja,薬師口
薬師口,ja-Hrkt,やくしぐち
薬師口,en,Yakushiguchi
藤上組集会所,ja,藤上組集会所
藤上組集会所,ja-Hrkt,ふじあげぐみしゅうかいじょ
藤上組集会所,en,Hujiagegumi shukaijo
藤山,ja,藤山
藤山,ja-Hrkt,ふじやま
藤山,en,Fujiyama
藪下,ja,藪下
藪下,ja-Hrkt,やぶした
藪下,en,Yabushita
蛍橋,ja,蛍橋
蛍橋,ja-Hrkt,ほたるばし
蛍橋,en,Hotarubashi
蛭川中学校下,ja,蛭川中学校下
蛭川中学校下,ja-Hrkt,ひるかわちゅうがっこうした
蛭川中学校下,en,Hirukawa chugakko-shita
蛭川総合事務所,ja,蛭川総合事務所
蛭川総合事務所,ja-Hrkt,ひるかわそうごうじむしょ
蛭川総合事務所,en,Hirukawa sougo jimusho(Hirukawa City Office)
蛭川診療所,ja,蛭川診療所
蛭川診療所,ja-Hrkt,ひるかわしんりょうじょ
蛭川診療所,en,Hirukawa shinryojo
蛭川郵便局,ja,蛭川郵便局
蛭川郵便局,ja-Hrkt,ひるかわゆうびんきょく
蛭川郵便局,en,Hirukawa yubinkyoku
蜂屋海戸,ja,蜂屋海戸
蜂屋海戸,ja-Hrkt,はちやがいと
蜂屋海戸,en,Hachiyagaito
袖ヶ沢,ja,袖ヶ沢
袖ヶ沢,ja-Hrkt,そでがさわ
袖ヶ沢,en,Sodegasawa
西方寺公会堂,ja,西方寺公会堂
西方寺公会堂,ja-Hrkt,さいほうじこうかいどう
西方寺公会堂,en,Saihouji koukaido
西組,ja,西組
西組,ja-Hrkt,にしぐみ
西組,en,nishigumi
西組集会所上,ja,西組集会所上
西組集会所上,ja-Hrkt,にしぐみしゅうかいじょうえ
西組集会所上,en,Nishigumi shukaijo-ue
見佐島,ja,見佐島
見佐島,ja-Hrkt,みさしま
見佐島,en,Misashima
観音様,ja,観音様
観音様,ja-Hrkt,かんのんさま
観音様,en,Kan-nonsama
角領公民館,ja,角領公民館
角領公民館,ja-Hrkt,かくりょうこうみんかん
角領公民館,en,Kakuryo kouminkan
記念碑,ja,記念碑
記念碑,ja-Hrkt,きねんひ
記念碑,en,Kinenhi
赤田,ja,赤田
赤田,ja-Hrkt,あこだ
赤田,en,Akada
赤田公会堂,ja,赤田公会堂
赤田公会堂,ja-Hrkt,あこだこうかいどう
赤田公会堂,en,Akada kokaido
起シ,ja,起シ
起シ,ja-Hrkt,おこし
起シ,en,Okoshi
農園前,ja,農園前
農園前,ja-Hrkt,のうえんまえ
農園前,en,Nouen-mae
辻,ja,辻
辻,ja-Hrkt,つじ
辻,en,Tsuji
辻屋口,ja,辻屋口
辻屋口,ja-Hrkt,つじやぐち
辻屋口,en,Tsujiyaguchi
辻屋橋,ja,辻屋橋
辻屋橋,ja-Hrkt,つじやばし
辻屋橋,en,Tsujiyabashi
道の駅加子母,ja,道の駅加子母
道の駅加子母,ja-Hrkt,みちのえきかしも
道の駅加子母,en,Michinoeki Kashimo
遠ヶ根１,ja,遠ヶ根１
遠ヶ根１,ja-Hrkt,とおがねいち
遠ヶ根１,en,Togane ichi
遠ヶ根２,ja,遠ヶ根２
遠ヶ根２,ja-Hrkt,とおがねに
遠ヶ根２,en,Togane ni
郵便局前（福岡）,ja,郵便局前（福岡）
郵便局前（福岡）,ja-Hrkt,ゆうびんきょくまえ
郵便局前（福岡）,en,Yubinkyoku-mae
野久保,ja,野久保
野久保,ja-Hrkt,のくぼ
野久保,en,Nokubo
野内クラブ,ja,野内クラブ
野内クラブ,ja-Hrkt,のうちくらぶ
野内クラブ,en,Nouchi kurabu
野尻,ja,野尻
野尻,ja-Hrkt,のじり
野尻,en,Nojiri
野田クラブ,ja,野田クラブ
野田クラブ,ja-Hrkt,のだくらぶ
野田クラブ,en,Noda kurabu
野田口,ja,野田口
野田口,ja-Hrkt,のだぐち
野田口,en,Nodaguchi
鉱山口,ja,鉱山口
鉱山口,ja-Hrkt,こうざんぐち
鉱山口,en,Kouzanguchi
銭亀,ja,銭亀
銭亀,ja-Hrkt,ぜにがめ
銭亀,en,Zenigame
銭亀倶楽部,ja,銭亀倶楽部
銭亀倶楽部,ja-Hrkt,ぜにがめくらぶ
銭亀倶楽部,en,Zenigame kurabu
鍛冶屋畑,ja,鍛冶屋畑
鍛冶屋畑,ja-Hrkt,かじやばた
鍛冶屋畑,en,kajiyabata
鍛冶島,ja,鍛冶島
鍛冶島,ja-Hrkt,かじしま
鍛冶島,en,Kajishima
鎌井野,ja,鎌井野
鎌井野,ja-Hrkt,かまいの
鎌井野,en,Kamaino
長根会館,ja,長根会館
長根会館,ja-Hrkt,ちょうねかいかん
長根会館,en,Chone kaikan
長楽寺,ja,長楽寺
長楽寺,ja-Hrkt,ちょうらくじ
長楽寺,en,Chorakuji
長瀞,ja,長瀞
長瀞,ja-Hrkt,ながとろ
長瀞,en,Nagatoro
長瀞橋,ja,長瀞橋
長瀞橋,ja-Hrkt,ながとろばし
長瀞橋,en,Nagatorobashi
門田橋,ja,門田橋
門田橋,ja-Hrkt,かどたばし
門田橋,en,Kadotabashi
関戸,ja,関戸
関戸,ja-Hrkt,せきど
関戸,en,Sekido
阿佐木前,ja,阿佐木前
阿佐木前,ja-Hrkt,あさぎまえ
阿佐木前,en,Asagimae
阿弥陀様前,ja,阿弥陀様前
阿弥陀様前,ja-Hrkt,あみださままえ
阿弥陀様前,en,Amidasama-mae
阿木交流センター,ja,阿木交流センター
阿木交流センター,ja-Hrkt,あぎこうりゅうせんたー
阿木交流センター,en,Agi kouryu center
阿木診療所,ja,阿木診療所
阿木診療所,ja-Hrkt,あぎしんりょうじょ
阿木診療所,en,Agi shinryojo
阿木郵便局,ja,阿木郵便局
阿木郵便局,ja-Hrkt,あぎゆうびんきょく
阿木郵便局,en,Agi yubinkyoku(Agi Postoffice)
阿木駅,ja,阿木駅
阿木駅,ja-Hrkt,あぎえき
阿木駅,en,Agi Eki(Agi Sta.)
隠平,ja,隠平
隠平,ja-Hrkt,かくれだいら
隠平,en,Kakuredaira
飯沼駅,ja,飯沼駅
飯沼駅,ja-Hrkt,いいぬまえき
飯沼駅,en,Iinuma Eki(Iinuma Sta.)
馬場上,ja,馬場上
馬場上,ja-Hrkt,まばかみ
馬場上,en,Mabakami
馬小屋,ja,馬小屋
馬小屋,ja-Hrkt,まごや
馬小屋,en,Magoya
高之巣,ja,高之巣
高之巣,ja-Hrkt,たかのす
高之巣,en,Takanosu
高屋,ja,高屋
高屋,ja-Hrkt,たかや
高屋,en,Takaya
高山大橋西,ja,高山大橋西
高山大橋西,ja-Hrkt,たかやまおおはしにし
高山大橋西,en,Takayama ohashi-nishi
高部,ja,高部
高部,ja-Hrkt,たかべ
高部,en,Takabe
高部公会堂,ja,高部公会堂
高部公会堂,ja-Hrkt,たかべこうかいどう
高部公会堂,en,Takabe koukaidou
鳥屋脇,ja,鳥屋脇
鳥屋脇,ja-Hrkt,とやき
鳥屋脇,en,Toyaki
鳩吹公民館,ja,鳩吹公民館
鳩吹公民館,ja-Hrkt,はとふきこうみんかん
鳩吹公民館,en,Hatohuki kouminkan
黒川谷,ja,黒川谷
黒川谷,ja-Hrkt,くろかわだに
黒川谷,en,Kurokawadani
黒沢,ja,黒沢
黒沢,ja-Hrkt,くろさわ
黒沢,en,Kurosawa
黒田,ja,黒田
黒田,ja-Hrkt,くろだ
黒田,en,Kuroda
黒田クラブ,ja,黒田クラブ
黒田クラブ,ja-Hrkt,くろだくらぶ
黒田クラブ,en,Kuroda kurabu
上之平・下組方面,ja,上之平・下組方面
上之平・下組方面,en,Uenotaira&Simogumi
加子母総合事務所 (万賀 方面),ja,加子母総合事務所 (万賀 方面)
加子母総合事務所 (万賀 方面),en,Kashimo Sougou Jimusho via Manga
加子母総合事務所 (小郷 方面),ja,加子母総合事務所 (小郷 方面)
加子母総合事務所 (小郷 方面),en,Kashimo Sougou Jimusho via Ogo
坂下駅前 (上鐘・松源地 方面),ja,坂下駅前 (上鐘・松源地 方面)
坂下駅前 (上鐘・松源地 方面),en,Sakashita Eki-mae via Uegane&Shogenji
坂下駅前 (下野口 方面),ja,坂下駅前 (下野口 方面)
坂下駅前 (下野口 方面),en,Sakashita Eki-mae via Shimonoguchi
坂下駅前 (小田・門田橋 方面),ja,坂下駅前 (小田・門田橋 方面)
坂下駅前 (小田・門田橋 方面),en,Sakashita Eki-mae via Koda&Kadodabashi
坂下駅前 (西方寺・握・高部 方面),ja,坂下駅前 (西方寺・握・高部 方面)
坂下駅前 (西方寺・握・高部 方面),en,Sakashita Eki-mae via Saihouji&Nigiri&Takabe
新田方面,ja,新田方面
新田方面,en,Shinden
本郷方面,ja,本郷方面
本郷方面,en,Hongo
矢平方面,ja,矢平方面
矢平方面,en,Yadaira
若山方面,ja,若山方面
若山方面,en,Wakayama
落合事務所 (山の田・三五沢 方面),ja,落合事務所 (山の田・三五沢 方面)
落合事務所 (山の田・三五沢 方面),en,Ochiai Jimusho via Yamanota&Sangosawa
落合事務所 (落合川駅 経由）,ja,落合事務所 (落合川駅 経由）
落合事務所 (落合川駅 経由）,en,Ochiai Jimusho via Ochiaigawa Eki
蛭川診療所 (和田 方面),ja,蛭川診療所 (和田 方面)
蛭川診療所 (和田 方面),en,Hirukawa shinryojo via Wada
蛭川診療所 (奈良井・田原 方面),ja,蛭川診療所 (奈良井・田原 方面)
蛭川診療所 (奈良井・田原 方面),en,Hirukawa shinryojo via Narai&Tahara
蛭川診療所 (奥渡・田原 方面),ja,蛭川診療所 (奥渡・田原 方面)
蛭川診療所 (奥渡・田原 方面),en,Hirukawa shinryojo via Okudo&Tahara
阿木交流センター (広岡・真原 方面),ja,阿木交流センター (広岡・真原 方面)
阿木交流センター (広岡・真原 方面),en,Agi kouryu center via Hirooka&Sanawara
阿木交流センター (飯沼・野田 方面),ja,阿木交流センター (飯沼・野田 方面)
阿木交流センター (飯沼・野田 方面),en,Agi kouryu center via Hirooka&Sanawara
阿木交流センター(飯沼・野田 方面),ja,阿木交流センター(飯沼・野田 方面)
阿木交流センター(飯沼・野田 方面),en,Agi kouryu center via Iinuma&Noda
ひとつばたご線,ja,ひとつばたご線
ひとつばたご線,en,Hitotsubatago Line
みちくさ線,ja,みちくさ線
みちくさ線,en,Michikusa Line
上之平・下組線,ja,上之平・下組線
上之平・下組線,en,Uenotaira-Simogumi Line
上野・合郷線,ja,上野・合郷線
上野・合郷線,en,Ueno-Asugo Line
上野・外洞線,ja,上野・外洞線
上野・外洞線,en,Ueno-Sodebora Line
上野線,ja,上野線
上野線,en,Ueno Line
上鐘・松源地線,ja,上鐘・松源地線
上鐘・松源地線,en,Uegane-Shogenji Line
付知巡回線,ja,付知巡回線
付知巡回線,en,Tsukechi Line
加子母巡回線,ja,加子母巡回線
加子母巡回線,en,Kashimo Line
合郷線,ja,合郷線
合郷線,en,Asugo Line
外洞線,ja,外洞線
外洞線,en,Sodebora Line
山の田・三五沢線,ja,山の田・三五沢線
山の田・三五沢線,en,Yamanota-Sangosawa Line
新田線,ja,新田線
新田線,en,Shinden Line
本郷線,ja,本郷線
本郷線,en,Hongo Line
杵振り線,ja,杵振り線
杵振り線,en,Kinefuri Line
矢平線,ja,矢平線
矢平線,en,Yadaira Line
紅岩線,ja,紅岩線
紅岩線,en,Beniiwa Line
若山線,ja,若山線
若山線,en,Wakayama Line
落合巡回線,ja,落合巡回線
落合巡回線,en,Ochiai Line
西方寺・握・高部線,ja,西方寺・握・高部線
西方寺・握・高部線,en,Saihouji-Nigiri-Takabe Line
阿木巡回線,ja,阿木巡回線
阿木巡回線,en,Agi Line
